TEAM NAME: BattLeDIM
Total score: € 174790.46
True Positives: 6
False Positives: 39
False Negatives: 17

# linkID, startTime, endTime, leakDiameter (m), leakType, peakTime
p828, 2019-01-08 23:55
p257, 2019-01-09 23:55
p35, 2019-01-09 23:55
p82, 2019-01-09 23:55
p827, 2019-01-09 23:55
p442, 2019-01-11 23:55
p813, 2019-01-12 23:55
p566, 2019-01-13 23:55
p78, 2019-01-14 23:55
p84, 2019-01-18 23:55
p258, 2019-01-18 23:55
p901, 2019-01-23 23:55
p6, 2019-01-23 23:55
p866, 2019-01-23 23:55
p836, 2019-01-24 23:55
p88, 2019-01-28 23:55
p890, 2019-01-31 23:55
p86, 2019-01-31 23:55
p6, 2019-01-31 23:55
p96, 2019-01-31 23:55
p896, 2019-01-31 23:55
p89, 2019-02-02 23:55
p614, 2019-02-05 23:55
p446, 2019-02-07 23:55
p887, 2019-03-03 23:55
p8, 2019-03-03 23:55
p894, 2019-03-03 23:55
p94, 2019-03-03 23:55
p905, 2019-03-04 23:55
p743, 2019-03-04 23:55
p94, 2019-03-05 23:55
p32, 2019-03-05 23:55
p888, 2019-03-05 23:55
p138, 2019-03-06 23:55
p150, 2019-03-06 23:55
p25, 2019-03-06 23:55
p469, 2019-03-06 23:55
p802, 2019-03-06 23:55
p209, 2019-03-13 23:55
p43, 2019-03-13 23:55
p501, 2019-03-13 23:55
p723, 2019-03-20 23:55
p793, 2019-07-30 23:55
p49, 2019-07-30 23:55
p431, 2019-07-30 23:55
p11, 2019-08-05 23:55
p258, 2019-08-05 23:55
p269, 2019-08-05 23:55
p368, 2019-08-05 23:55
p880, 2019-08-07 23:55
p33, 2019-08-07 23:55
